doc_id,original_text,processed_text
825,What is the syllabus for ICSE 2017 geography map?,syllabu ic geographi map
826,Which is more financially beneficial: being in a firm or teaching in an architecture college?,financi benefici firm teach architectur colleg
827,"Why might career training programs be more beneficial than a college degree, if at all, to aspiring entrepreneurs and tycoons?",might career train program benefici colleg degre aspir entrepreneur tycoon
828,How can I see the Comedy Nights with Kapil live show?,see comedi night kapil live show
829,What is the way to watch Comedy Nights with Kapil live on the sets?,way watch comedi night kapil live set
830,Why is sandeep maheshwari not on Quora?,sandeep maheshwari quora
831,Who is Sandeep Maheshwari?,sandeep maheshwari
832,What is the biggest monster in Monster Hunter?,biggest monster monster hunter
833,Is there a Monster Hunter PC game?,monster hunter pc game
834,How can I convince people to stop blaspheming against the Holy Spirit?,convinc peopl stop blasphem holi spirit
835,Does it matter from which college you do your graduation (BCom) from for admission into a top Indian B-School even If I score high(99%+)?,matter colleg graduat bcom admiss top indian b-school even score high
836,Why can't I stop watching porn?,ca n't stop watch porn
837,Why should / shouldn't I watch porn?,n't watch porn
838,How can I start trusting any one?,start trust one
839,How can one learn to trust again?,one learn trust
841,What is your bucket list?,bucket list
842,How did you first come across porn?,first come across porn
843,How were you first introduced to porn?,first introduc porn
844,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",car servic avail normal il good compar taxi rel
845,Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,car servic avail atlanta good compar taxi rel
846,Why can’t charged molecules pass through the lipid cell membrane?,’ charg molecul pas lipid cell membran
847,Why can't sodium channels pass through potassium channels?,ca n't sodium channel pas potassium channel
848,How does it feel to be a spouse of a renowned porn star?,feel spous renown porn star
849,How can I get rid of the feeling that my spouse is cheating on me?,get rid feel spous cheat
850,What is the best hostel booking affiliate program?,best hostel book affili program
851,Which is the best non AC girls hostel in Srm?,best non ac girl hostel srm
852,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?",drive brooklyn staten island describ citi tourist attract compar queen
853,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?",drive brooklyn staten island describ citi tourist attract compar tourist attract
854,What can I eat every day to be more healthy?,eat everi day healthi
855,Is it healthy to eat a whole avocado every day?,healthi eat whole avocado everi day
856,How do I make free calls to family members on Airtel Andhra Pradesh?,make free call famili member airtel andhra pradesh
857,How do I get Facebook badge notifications on HTC 10?,get facebook badg notif htc
859,What will Hillary Clinton do now?,hillari clinton
860,Should I use Vicks Vapor Rub for a stuffy nose?,use vick vapor rub stuffi nose
861,How do you apply Vicks Vapor rub to treat a stuffy nose?,appli vick vapor rub treat stuffi nose
862,How I start prepare for UGC net English literature latest syllabus?,start prepar ugc net english literatur latest syllabu
863,How do I prepare for Net JRF in English literature?,prepar net jrf english literatur
864,How did early Europeans get protein before the Columbian Exchange?,earli european get protein columbian exchang
865,How did they say breakfast in Portuguese before coffee was introduced to Europeans & the Portuguese language?,say breakfast portugues coffe introduc european portugues languag
866,What is the best forum for graphic designers?,best forum graphic design
867,Who is the best graphic designer in israel?,best graphic design israel
868,Is Alex Jones a satirical show?,alex jone satir show
869,How is The Canterbury Tales a satire?,canterburi tale satir
870,Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,learn angularj instead angularj n't know typescript
871,Which should I start with: Angular 2 or AngularJS 1?,start angular angularj
872,Why can't we fall asleep on some days?,ca n't fall asleep day
873,Why do we fall asleep?,fall asleep
874,Which Marvel movies have not included Stan Lee cameos?,marvel movi includ stan lee cameo
875,What is your favourite Stan Lee cameo in a Marvel film?,favourit stan lee cameo marvel film
876,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,view modi govern decis demonet rupe note affect economi
877,What are your views on ban of 500 and 1000 rupee notes in India?,view ban rupe note india
878,What does the 10/6 label on the Mad Hatter's hat mean?,label mad hatter 's hat mean
879,How do you find a figure labeled this way in a textbook?,find figur label way textbook
880,Who wrote the Kars for Kids jingle?,wrote kar kid jingl
881,I am a freelance musician. How can I get into the jingle industry?,freelanc musician get jingl industri
882,Why is Saltwater Taffy candy imported in Greece?,saltwat taffi candi import greec
883,Why is Saltwater taffy candy imported in China?,saltwat taffi candi import china
884,What are the minimum requirements to enter MIT?,minimum requir enter mit
886,How do you answer a question on Quora?,answer question quora
887,What is the best thing you've ever learned on Quora?,best thing 've ever learn quora
888,Israel vs Iran: who would win?,israel v iran would win
889,"If Israel and Iran went to war, who would win?",israel iran went war would win
890,When is it too late to learn the piano?,late learn piano
891,I'm almost 40. Is it too late for me to learn piano?,'m almost late learn piano
892,What are natural numbers?,natur number
893,What is a least natural number?,least natur number
894,Is One Plus 3T 4G VoLTE enabled phone?,one plu g volt enabl phone
895,Which phone to buy Moto m or one plus 3t?,phone buy moto one plu
896,How do I enter a new email ID which I can access to recover my Facebook ID?,enter new email id access recov facebook id
897,I lost all my ID. I am adopted and can't access my original birth certificate. How do I replace my ID without even a birth certificate?,lost id adopt ca n't access origin birth certif replac id without even birth certif
898,How we can travel faster than light?,travel faster light
899,Is it possible to travel faster than light?,possibl travel faster light
900,What is it like being a firefighter?,like firefight
901,What's it like to be a firefighter?,'s like firefight
902,What are the factors that causes data inconsistency in distributed platform/application?,factor caus data inconsist distribut platform/appl
903,What are the main data platform?,main data platform
904,What are the differences between POCSO and sexual offenses in the IPC?,differ pocso sexual offens ipc
905,Do we need the IPC section 375?,need ipc section
906,"What is an alternative for the word ""is""?",altern word `` ''
907,What is the alternative word for creative?,altern word creativ
908,What is considered an illegal screen in the NBA?,consid illeg screen nba
909,Shaquille O'Neal considers Tim Duncan a power forward therefore disqualifying Duncan from the NBA great big men discussion. Does O'Neal have a point?,shaquil o'neal consid tim duncan power forward therefor disqualifi duncan nba great big men discus o'neal point
910,Nothing excites me anymore. How do I regain that excitement?,noth excit anymor regain excit
911,Why do I feel like I'm excited about something when I have nothing to be excited about?,feel like 'm excit someth noth excit
912,What are the life lessons that Batman teaches us?,life lesson batman teach u
913,What are the life lessons you can learn from the dark knight?,life lesson learn dark knight
914,How do you stop a criminal's attempt to kidnap you so you escape unharmed?,stop crimin 's attempt kidnap escap unharm
915,How do you stop a criminal's attempt to kidnap you and escape unharmed?,stop crimin 's attempt kidnap escap unharm
916,How do I sell on Amazon?,sell amazon
917,How do I start selling on Amazon?,start sell amazon
918,Daniel Ek: When an we expect Spotify in India?,daniel ek expect spotifi india
919,Daniel Ek: Are there any future plans of releasing Spotify in India?,daniel ek futur plan releas spotifi india
920,What are the top 10 books one should read in his or her early 20s?,top book one read earli
921,What books are worth reading in early 20s?,book worth read earli
922,Which book should I start with for the GATE preparation?,book start gate prepar
923,What book do I start with for GATE preparation?,book start gate prepar
924,"What does the phrase ""He who does not love abides in death"" exactly mean?",phrase `` love abid death '' exactli mean
925,"What does the phrase ""love begets love"" mean?",phrase `` love beget love '' mean
926,What is similar to 4Shared?,similar share
927,What is similar to 4shared but better?,similar share better
928,Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?,get high someon touch weed shake hand eat someth hand
929,"If someone grabs you by your shirt with both their hands and tells you to shut up, is that assault and can you call the police?",someon grab shirt hand tell shut assault call polic
930,Considering the current trend of information technology what is the future of print media?,consid current trend inform technolog futur print medium
931,What is this model's name? I see her everywhere.,model 's name see everywher
932,What is the best recipe for chicken pizza?,best recip chicken pizza
933,What are some good pizza recipes?,good pizza recip
934,What are some good places to learn mountaineering in India?,good place learn mountain india
935,What are some good mountaineering institutes for a beginner level mountaineering course?,good mountain institut beginn level mountain cours
936,Do new table tennis balls damage rubbers?,new tabl tenni ball damag rubber
937,How do you unlock a car with a tennis ball?,unlock car tenni ball
938,My new Xbox one S can't connect to internet during setup. Any solutions?,new xbox one ca n't connect internet setup solut
939,Can I withdraw my money from any branch of particular bank .my bank is bank of Baroda I have no Atm card and cheque book?,withdraw money branch particular bank .mi bank bank baroda atm card chequ book
940,Is it wrong for me to be content with my life?,wrong content life
941,What is a cover story?,cover stori
942,Is gravity only a theory?,graviti theori
943,"According to the M-theory, there are 11 dimensions. Why are only 5 dimensions in regards to gravity addressed in Interstellar?",accord m-theori dimens dimens regard graviti address interstellar
944,How could I become a fighter pilot when I have less than the required eyesight?,could becom fighter pilot less requir eyesight
945,I have terrible eyesight. Can I still become a fighter pilot in the Air Force?,terribl eyesight still becom fighter pilot air forc
946,Operation executive salary in Infosys?,oper execut salari infosi
947,"How do I do the Wake Back To Bed lucid dreaming technique when I think I have restless leg syndrome (regardless, my legs hurt at night.)?",wake back bed lucid dream techniqu think restless leg syndrom regardless leg hurt night
948,Have cavemen been scientifically tested?,caveman scientif test
949,Have mythical creatures been scientifically tested?,mythic creatur scientif test
950,Can climate change be reversed?,climat chang revers
951,Can the global climate change be reversed or halted?,global climat chang revers halt
952,How should ask my crush for her number?,ask crush number
953,What should I ask my crush?,ask crush
954,Why do I believe that gravitation force exist?,believ gravit forc exist
955,Does gravitational force exists in all planets?,gravit forc exist planet
956,Did Mahabharata really happen?,mahabharata realli happen
957,Did Mahabharata really happen or only an allegory according to M.K.Gandhi?,mahabharata realli happen allegori accord m.k.gandhi
958,Can Congress stop Presidents from starting a major war?,congress stop presid start major war
959,What's a good source to purchase Attorneys eMail addresses? Thanks,'s good sourc purchas attorney email address thank
960,Is it safe to lose 25 pounds in 1 month?,safe lose pound month
961,Is it healthy to lose 13 pounds in a month?,healthi lose pound month
962,What are some cute shounen ai series?,cute shounen ai seri
963,When will the Pokémon series end?,pokémon seri end
964,Why are police lights red and blue?,polic light red blue
966,How do I post a question that was marked as needing improvement?,post question mark need improv
967,"Why was my question marked as ""needs improvement?""",question mark `` need improv ''
968,Who owns nature?,own natur
969,Who owns Natural Factors?,own natur factor
970,How can I install OBB/data file on an Android?,instal obb/data file android
971,I want to install EXE extension files in Android mobile. Is it possible?,want instal exe extens file android mobil possibl
972,What is garbage value? And Why do we get garbage value in c?,garbag valu get garbag valu c
973,What is garbage value in c?,garbag valu c
974,How do I prepare for software interviews?,prepar softwar interview
976,Does Rahul Gandhi have any chance to become next PM of India after Modi?,rahul gandhi chanc becom next pm india modi
977,Does Rahul Gandhi have chances to become next Pm of India after Modi?,rahul gandhi chanc becom next pm india modi
978,Is noon 12 am or 12 pm?,noon pm
979,Is it good to do gym at morning and swimming at noon?,good gym morn swim noon
980,What is the difference between a comet and an asteroid?,differ comet asteroid
981,What is the difference between asteroids and comets?,differ asteroid comet
982,Is chocolate milk good for you?,chocol milk good
983,Why is unrefrigerated milk good for you?,unrefriger milk good
984,How should I study,studi
985,What are some tricks to study effectively?,trick studi effect
986,Which country is best for higher education and work?,countri best higher educ work
987,Which is the best country for higher education after USA and UK?,best countri higher educ usa uk
988,What is the painting on this image?,paint imag
989,What is this painting?,paint
990,Which are the major highways in California and how are they compared to the major highways in Tennessee?,major highway california compar major highway tennesse
991,Which are the major highways in California and how are they compared to the major highways in Texas?,major highway california compar major highway texa
992,What's beyond our Universe?,'s beyond univers
993,"If space is expanding, where does the new space come from?",space expand new space come
994,Is growing of hair a physical or a chemical change?,grow hair physic chemic chang
995,Can a bald person ever grow their hair back?,bald person ever grow hair back
996,What is the difference between culture and history?,differ cultur histori
997,How is chili different between cultures?,chili differ cultur
998,What does it mean when a guy says I like you?,mean guy say like
999,"What does it mean when a guy says ""Be safe""?",mean guy say `` safe ''
1000,"What makes a programmer ""good?""",make programm `` good ''
1001,What makes a good programmer great?,make good programm great
1002,What will most likely cause World War III?,like caus world war iii
1003,Is World War III imminent?,world war iii immin
1004,Is civil war likely after the US presidential election?,civil war like u presidenti elect
1005,Is the US at risk of some type of uprising after the election?,u risk type upris elect
1006,Which European country is the best for asylum seekers?,european countri best asylum seeker
1007,What are the best countries for whistleblowers to seek asylum?,best countri whistleblow seek asylum
1008,Where and how do the crop circles get generated?,crop circl get gener
1009,What are crop circles?,crop circl
1010,Will baking soda help pass a urine test?,bake soda help pas urin test
1011,How does baking soda help you pass a drug test?,bake soda help pas drug test
1012,What is Zika virus and how is it transmitted?,zika viru transmit
1013,How is Zika virus spread?,zika viru spread
1014,What is the best way to learn algebra by yourself?,best way learn algebra
1015,How do you learn algebra 1 fast?,learn algebra fast
1016,How does it feel to retake a class in college?,feel retak class colleg
1017,Does retaking subjects in college affect future job prospects?,retak subject colleg affect futur job prospect
1018,Does Google Display Network require any site to have it SEO (on-page and off-page optimized) first before they can proceed with GDN? Is this possible?,googl display network requir site seo on-pag off-pag optim first proceed gdn possibl
1019,How can I get my name off the first page on Google search?,get name first page googl search
1020,"How hard is it to fake appearing ""spiritual"" in a Christian community?",hard fake appear `` spiritu '' christian commun
1021,Why did the Battle of Agincourt happen? How does it compare to the Battle of Edge Hill?,battl agincourt happen compar battl edg hill
1022,What is an actinomorphic flower?,actinomorph flower
1023,Flowers: What is vaijanti?,flower vaijanti
1024,What is the best place for sex?,best place sex
1025,What is the best place to have sex from?,best place sex
1026,Do people with anemia die younger?,peopl anemia die younger
1027,Does anemia increase irritability?,anemia increas irrit
1028,"How do you feel about the new MacBook Pro, late 2016?",feel new macbook pro late
1029,Should I get the new Macbook Pro?,get new macbook pro
1030,Does covering your head while sleeping cause brain damage?,cover head sleep caus brain damag
1031,Does binge drinking cause long term brain damage?,bing drink caus long term brain damag
